Number,Response Date,Response Text
1,"Apr 17, 2017 4:10 PM",I use the information to inform on where to go to find data driven solutions to  various issues that require my attention.
2,"Apr 17, 2017 4:08 PM",Taking examples of others that have flourished saves from reinventing the wheel. 
3,"Apr 17, 2017 1:21 PM",not applicable
4,"Apr 17, 2017 1:10 PM",CUrrently using it to explain to my direct supervisor and my fellow (lateral) employees on importance of training staff.
5,"Apr 17, 2017 2:40 AM",I have applied it as a student in my public health assessments and as a volunteer to advocate for needs within our community
6,"Apr 17, 2017 2:01 AM",not yet
7,"Apr 16, 2017 7:44 PM",Yes
8,"Apr 16, 2017 5:47 PM",Not yet
9,"Apr 16, 2017 12:30 PM",nil
10,"Apr 16, 2017 5:29 AM",In the completion of class assignments.
11,"Apr 15, 2017 11:40 PM",I am a retired software/hardware (firmware) manager
12,"Apr 15, 2017 6:44 PM",N/A
13,"Apr 15, 2017 2:47 PM",Right now - using in training others - with reference to the website
14,"Apr 15, 2017 1:11 AM","How esblishing a model for excellence can not only benefit one individually but raises standards among peers in the hopes of local reform ,the power of one and its influence,pushes the line beyond foundation of authoritative systems that corrupt  in nature must  crumble and disolve so the roots of philodendron which have always been few can once again can stand in honor of the Union Colony which have always lead by example"
15,"Apr 14, 2017 7:29 PM",I am printing the critical thinking information for future use
16,"Apr 14, 2017 3:46 PM","Transfiero estos conocimientos a psicólogos, trabajadores sociales u otras profesiones asociadas al trabajo comunitario."
17,"Apr 14, 2017 1:43 PM",have encountered a few cities that behaved in ways that normal communication seemingly wouldn't allow me to get even my most basic needs met. I was being forced to function dysfunctionally just like they were used to functioning. So the site helped ground me mentally. 
18,"Apr 14, 2017 4:34 AM",No
19,"Apr 14, 2017 2:12 AM",activity for students
20,"Apr 14, 2017 12:04 AM",not since i use it as a training tool
21,"Apr 13, 2017 11:24 PM",Have applied in helping board do strategic planning; have recommended this site to many over the years.
22,"Apr 13, 2017 10:44 PM",Que sean independientes y puedan salir adelantes con sus propios herramientas de trabajo
23,"Apr 13, 2017 9:43 PM",I will be utilizing the tools today.
24,"Apr 13, 2017 8:07 PM",To clarify steps in reaching consensus.
25,"Apr 13, 2017 7:29 PM",in rescuing and attempting to re-construct a non-profit organization
26,"Apr 13, 2017 5:48 PM",working on cultural diversity training
27,"Apr 13, 2017 5:41 PM",I'm using it now to boost participation in a program that isn't working - it's very helpful to give the Board information about why we have to go back a few steps and rethink how and when we're offering the program to members.
28,"Apr 13, 2017 4:29 PM",By taking a survey 
29,"Apr 13, 2017 3:59 PM",used it for teaching less for an actual community problem. 
30,"Apr 13, 2017 3:39 PM",I have used what I have learned to design a health promotion program that I will present to my public health student group for use in our campus community to encourage physical activity among college students to help achieve the goals of a healthy campus. 
31,"Apr 13, 2017 3:08 PM","Yes, I used it in practice and I use the site when I teach community courses "
