Number,Response Date,Other (please specify)
1,"Apr 17, 2017 1:10 PM",I am a nutrition educator in school foodservice. Using this tool to provide to assess current SOP of staff to better follow federal guidelines.
2,"Apr 16, 2017 7:44 PM","RN working in primary care homeless clinic, also an RN-BSN student at the UW Bothell.
I love this assignment."
3,"Apr 16, 2017 3:57 PM",Retired prof from a career in university extension work.
4,"Apr 15, 2017 2:47 PM",Social Worker
5,"Apr 15, 2017 1:11 AM","Traffic Control Supervisors 
Superintendent "
6,"Apr 14, 2017 10:37 PM",public health nurse
7,"Apr 13, 2017 9:43 PM",Grant writer for a local nonprofit.
8,"Apr 13, 2017 5:41 PM",Nonprofit staff
9,"Apr 13, 2017 1:33 PM",health educator
10,"Apr 13, 2017 10:26 AM","about to start a peer support group, having no experience in this area"
11,"Apr 13, 2017 5:35 AM",???
12,"Apr 12, 2017 7:00 PM",Mental Health Provider
13,"Apr 12, 2017 6:57 PM","project assistant, gathering neighborhood opinions"
14,"Apr 12, 2017 12:22 AM","President Board of Directors, non-profit 501c3"
15,"Apr 11, 2017 7:58 PM",researching words on communication in the intentional community
16,"Apr 11, 2017 5:32 AM",Project Officer for a Charity
17,"Apr 10, 2017 12:46 PM",I work for a social enterprise helping charities and not for profit organisations
18,"Apr 9, 2017 9:28 PM",Pursing my Master's in Social Work
19,"Apr 8, 2017 8:39 PM","
Writer."
20,"Apr 8, 2017 2:02 PM",Designer
21,"Apr 8, 2017 10:55 AM","communication officer
"
22,"Apr 7, 2017 6:55 PM","director of a large-scale, multi-sectoral health intervention with diverse partners and stakeholders"
23,"Apr 7, 2017 4:42 PM",Proud American and supporter of democracy by the people and for the people
24,"Apr 6, 2017 9:56 PM","Help develop legal information materials (booklets, brochures) for legal aid."
25,"Apr 6, 2017 6:57 PM",business person
26,"Apr 6, 2017 4:16 PM",Evaluator
27,"Apr 6, 2017 1:31 PM",MSW student in rural community
28,"Apr 5, 2017 5:05 PM","I just started browsing your website, I would like a little more time before asked to participate in a survey."
29,"Apr 5, 2017 4:52 PM",Graduate assistant for a statewide wellness program
30,"Apr 5, 2017 5:48 AM",Religious activities
31,"Apr 4, 2017 7:48 PM",None of the above
32,"Apr 4, 2017 7:17 PM",Unemployed individual with interest
33,"Apr 4, 2017 6:43 PM","In addition to my work in teacher education, I also work with our Director of Service-Learning and Community Engagement."
34,"Apr 4, 2017 3:02 PM","For now, only researcher."
35,"Apr 3, 2017 11:13 PM",Community Health Worker
36,"Apr 3, 2017 7:35 PM",Program manager
37,"Apr 3, 2017 7:00 PM",Economic Development Officer
38,"Apr 3, 2017 12:09 PM",Advocate
39,"Apr 3, 2017 8:26 AM",teacher who is doing distance learning in Education Management programme
40,"Apr 3, 2017 2:39 AM",not helping
41,"Apr 2, 2017 9:55 PM","Director of the
Academy of Knowlege and Inspiration."
42,"Apr 2, 2017 8:05 PM",Clinician
43,"Apr 2, 2017 6:41 PM",I am a retired government worker who aided the community find jobs in state government
44,"Apr 2, 2017 6:05 AM",bpi-tow public health fellow
45,"Apr 1, 2017 8:46 PM",work at kroger
46,"Mar 31, 2017 6:31 AM","It assisted in clarifying most of the issues, easy read"
47,"Mar 31, 2017 3:57 AM",Director of nonprofit organization
48,"Mar 31, 2017 3:38 AM",Health Department Employee
49,"Mar 31, 2017 3:35 AM",RN
50,"Mar 30, 2017 7:57 PM",NGO/NPO Volunteer recruitment specialist
51,"Mar 30, 2017 2:45 PM","community and worker organizer, TA provider"
52,"Mar 30, 2017 9:54 AM",Employee in an NGO working for child abuse prevention
53,"Mar 29, 2017 7:44 PM","Non - Profit Trade Association that represents rental housing owners, managers and residents."
54,"Mar 29, 2017 6:07 PM",Non-profit organizational development
55,"Mar 29, 2017 12:42 PM","Advocate, Non-profit employee, Educator (non-professor) "
56,"Mar 29, 2017 12:02 PM",Soy un curioso.
57,"Mar 29, 2017 9:26 AM",Case worker and community organiser
58,"Mar 29, 2017 3:24 AM",Director of a Non-For Profit
59,"Mar 29, 2017 1:49 AM",Pastor!
60,"Mar 29, 2017 1:48 AM",Developer
61,"Mar 28, 2017 9:04 PM",program manager
62,"Mar 28, 2017 7:54 PM",advocate
63,"Mar 28, 2017 6:39 PM",Grant writer
64,"Mar 28, 2017 5:49 PM",Non-profit program administrator
65,"Mar 28, 2017 5:31 PM",we do educate the community in skills development for free to the underprivalleged
66,"Mar 28, 2017 5:03 PM",State organization
67,"Mar 28, 2017 4:39 PM",Unemployed.
68,"Mar 28, 2017 4:31 PM",Admin 
