Number,Response_Date,Response_Text
1,"Apr 17, 2017 4:10 PM",The examples are very useful for providing a framework to start different projects.
2,"Apr 17, 2017 4:08 PM",Detailed information
3,"Apr 17, 2017 1:21 PM",I am only starting to use it. Why am i being surveyed now?
4,"Apr 17, 2017 1:10 PM",breifly read it but have bookmarked it to use for further resources
5,"Apr 17, 2017 2:40 AM","In depth information, checklists, links to useful resources and websites, examplers "
6,"Apr 17, 2017 2:01 AM",the simplicity with which you show how to get things done
7,"Apr 16, 2017 7:44 PM",Helps organize my thoughts and observations. Inspires me to take action.
8,"Apr 16, 2017 5:47 PM","So far only read the one page, if you want honest reviews maybe pull back on asking people to this survey too soon"
9,"Apr 16, 2017 3:57 PM","Good selection of topic - not too many or too few. Like sections on organization skills, facilitation and advocacy"
10,"Apr 16, 2017 12:30 PM",nil
11,"Apr 16, 2017 5:29 AM",Accessibility to resources that assist in the formulation of population-based interventions.
12,"Apr 15, 2017 11:40 PM",Enlightenment in leadership styles - and their effectiveness
13,"Apr 15, 2017 6:44 PM",The information
14,"Apr 15, 2017 2:47 PM",Clarity around ideas
15,"Apr 15, 2017 1:11 AM","Structure  ,directionaly guided, informative ,grounds for validity"
16,"Apr 14, 2017 7:29 PM",first time I have used it
17,"Apr 14, 2017 3:46 PM",La organización de los contenidos y los recursos para afianzar los aprendizajes.
18,"Apr 14, 2017 1:43 PM",realty driven
19,"Apr 14, 2017 4:34 AM",It is simple and straight forward and easy to understand
20,"Apr 14, 2017 2:12 AM",easy for students to use
21,"Apr 14, 2017 12:04 AM",great easy to use real life examples
22,"Apr 13, 2017 11:24 PM","It's comprehensive, has useful topics, clear and easy to understand, has theory, has examples. It's free. That's so great. "
23,"Apr 13, 2017 10:44 PM",Ayudar a las comunidades a organizarce
24,"Apr 13, 2017 9:43 PM",This is my first time utilizing the program.
25,"Apr 13, 2017 8:07 PM",The thoroughness of the explanations.
26,"Apr 13, 2017 7:29 PM","Great resource for how to, great tool for organizing or training and reference"
27,"Apr 13, 2017 5:48 PM",many ideas from across the country-many diverse communities
28,"Apr 13, 2017 5:41 PM","It's extensive - issues are discussed in enough detail to be really helpful in guiding my thinking, and there are lots of different options and examples about how to go about steps."
29,"Apr 13, 2017 4:29 PM",It has valuable information and can be a legible site for school projects
30,"Apr 13, 2017 3:59 PM",google search
31,"Apr 13, 2017 3:39 PM","Everything in the community tool box has been really helpful and informative, thank you for providing this resource."
32,"Apr 13, 2017 3:08 PM","The entire Tool Box is so useful. The information is relevant and timely. From an instructional aspect, I love the provided citations. The examples and outlines make finding the correct information easier. Awesome Resource!!"
33,"Apr 13, 2017 1:33 PM",format and examples
34,"Apr 13, 2017 1:32 PM",The layout is easy to follow and understand
35,"Apr 13, 2017 1:11 PM",simplicity
36,"Apr 13, 2017 10:26 AM",very clear and systematic advice about how to start and run a peer support group; this is empowering me to do it
37,"Apr 13, 2017 5:29 AM",Fresh approach 
38,"Apr 13, 2017 12:28 AM",There is enough information and templates that act as a roadmap 
39,"Apr 13, 2017 12:24 AM",Cannot say yet.
40,"Apr 12, 2017 10:47 PM",information of others
41,"Apr 12, 2017 9:28 PM",Very well written and at a level that is great for me. 
42,"Apr 12, 2017 8:20 PM",simple step by step
43,"Apr 12, 2017 7:00 PM",How you can get people in the community togother
44,"Apr 12, 2017 6:57 PM",Its comprehensiveness.
45,"Apr 12, 2017 5:26 PM",information that is clear and relatable
46,"Apr 12, 2017 4:42 PM",It's breadth and relevance. 
47,"Apr 12, 2017 2:53 PM",The tools and techniques it provides
48,"Apr 12, 2017 2:30 PM",addresses everyday health issues with pragmatic solutions/examples
49,"Apr 12, 2017 12:26 PM",Clear and informqtive
50,"Apr 12, 2017 11:38 AM",needs assessment and how to conduct dialogues
51,"Apr 12, 2017 11:24 AM",Easy to read.
52,"Apr 12, 2017 9:37 AM",The PRECEDE -PROCEED model
53,"Apr 12, 2017 8:18 AM",its reliable and clear information
54,"Apr 12, 2017 6:43 AM",Easy to access and find relevant topics.
55,"Apr 12, 2017 5:01 AM",step by step instructions
56,"Apr 12, 2017 4:34 AM",The tools and its explications
57,"Apr 12, 2017 12:22 AM",easy to navigate; timely; well written; answered my questions
58,"Apr 11, 2017 11:38 PM",Chock full of resources!
59,"Apr 11, 2017 10:15 PM",plain speak; examples
60,"Apr 11, 2017 8:51 PM",Ease of access to a wealth of information 
61,"Apr 11, 2017 7:58 PM",na
62,"Apr 11, 2017 7:32 PM",Don't know yet
63,"Apr 11, 2017 7:03 PM",Wide variety of useful tools and resources.
64,"Apr 11, 2017 6:26 PM",I need time to read before the survey pop up
65,"Apr 11, 2017 5:57 PM",Good Examples
66,"Apr 11, 2017 5:47 PM",scope of materials available
67,"Apr 11, 2017 5:18 PM",all of the information and really like the toolkits
68,"Apr 11, 2017 4:00 PM",Clear definitions and relevant examples
69,"Apr 11, 2017 3:14 PM",I like how easy it is to read and understand.  It makes a person feel like you can make this work.
70,"Apr 11, 2017 3:03 PM",Explicit
71,"Apr 11, 2017 11:58 AM","Very well laid out, knowledge is great and easily understandable"
72,"Apr 11, 2017 10:32 AM",Reference Concentration
73,"Apr 11, 2017 7:57 AM","So much information, I can find everything I need in one place"
74,"Apr 11, 2017 5:32 AM",Easy layout - to the point and practical
75,"Apr 11, 2017 2:58 AM",Survey came before I read anything.
76,"Apr 11, 2017 2:36 AM",clarity of information 
77,"Apr 10, 2017 10:33 PM",information available
78,"Apr 10, 2017 8:49 PM",It is open source and easy to understand.
79,"Apr 10, 2017 7:42 PM",never tried it before. we will see
